Confirmed,Deaths,States,Recovered,Date,Id
12114,643,Washington,,20-Apr,53
902,24,West Virginia,290,20-Apr,54
4499,230,Wisconsin,,20-Apr,55
317,2,Wyoming,233,20-Apr,56
5317,183,Alabama,,21-Apr,1
329,9,Alaska,168,21-Apr,2
0,0,American Samoa,,21-Apr,60
5256,208,Arizona,1155,21-Apr,4
1990,42,Arkansas,809,21-Apr,5
35465,1282,California,,21-Apr,6
10473,483,Colorado,,21-Apr,8
20360,1423,Connecticut,,21-Apr,9
2931,82,Delaware,565,21-Apr,10
3098,112,District of Columbia,636,21-Apr,11
27869,867,Florida,,21-Apr,12
19881,798,Georgia,,21-Apr,13
136,5,Guam,114,21-Apr,66
586,10,Hawaii,423,21-Apr,15
1736,48,Idaho,660,21-Apr,16
33059,1468,Illinois,,21-Apr,17
12097,635,Indiana,,21-Apr,18
3641,83,Iowa,1293,21-Apr,19
2164,109,Kansas,,21-Apr,20
3204,171,Kentucky,1174,21-Apr,21
24854,1405,Louisiana,,21-Apr,22
888,36,Maine,443,21-Apr,23
14193,652,Maryland,930,21-Apr,24
41199,1961,Massachusetts,,21-Apr,25
32667,2575,Michigan,3237,21-Apr,26
2567,160,Minnesota,1254,21-Apr,27
4716,183,Mississippi,,21-Apr,28
6066,224,Missouri,,21-Apr,29
437,12,Montana,273,21-Apr,30
1685,33,Nebraska,,21-Apr,31
3937,163,Nevada,,21-Apr,32
1490,42,New Hampshire,521,21-Apr,33
92387,4753,New Jersey,,21-Apr,34
1971,58,New Mexico,501,21-Apr,35
258361,19104,New York,23887,21-Apr,36
7134,245,North Carolina,,21-Apr,37
644,13,North Dakota,214,21-Apr,38
14,2,Northern Mariana Islands,11,21-Apr,69
13725,557,Ohio,,21-Apr,39
2807,164,Oklahoma,1702,21-Apr,40
2004,78,Oregon,,21-Apr,41
35249,1614,Pennsylvania,,21-Apr,42
1298,64,Puerto Rico,,21-Apr,72
5500,171,Rhode Island,315,21-Apr,44
4439,124,South Carolina,2063,21-Apr,45
1755,8,South Dakota,824,21-Apr,46
7394,157,Tennessee,3828,21-Apr,47
20574,533,Texas,6486,21-Apr,48
3297,32,Utah,888,21-Apr,49
818,40,Vermont,1710,21-Apr,50
53,3,Virgin Islands,48,21-Apr,78
9630,324,Virginia,1418,21-Apr,51
12392,664,Washington,,21-Apr,53
908,26,West Virginia,330,21-Apr,54
4625,244,Wisconsin,,21-Apr,55
443,2,Wyoming,237,21-Apr,56
5593,196,Alabama,,22-Apr,1
335,9,Alaska,196,22-Apr,2
0,0,American Samoa,,22-Apr,60
5473,231,Arizona,1265,22-Apr,4
2276,42,Arkansas,863,22-Apr,5
37344,1421,California,,22-Apr,6
10891,506,Colorado,,22-Apr,8
22469,1544,Connecticut,,22-Apr,9
3200,89,Delaware,599,22-Apr,10
3206,127,District of Columbia,645,22-Apr,11
28309,893,Florida,,22-Apr,12
21214,848,Georgia,,22-Apr,13
136,5,Guam,119,22-Apr,66
592,12,Hawaii,437,22-Apr,15
1766,51,Idaho,710,22-Apr,16
35107,1565,Illinois,,22-Apr,17
12438,666,Indiana,,22-Apr,18
3748,90,Iowa,1428,22-Apr,19
2331,112,Kansas,,22-Apr,20
3378,185,Kentucky,1266,22-Apr,21
25258,1473,Louisiana,,22-Apr,22
907,39,Maine,455,22-Apr,23
14775,698,Maryland,981,22-Apr,24
42944,2182,Massachusetts,,22-Apr,25
33966,2813,Michigan,3237,22-Apr,26
2722,179,Minnesota,1317,22-Apr,27
4894,193,Mississippi,,22-Apr,28
6277,238,Missouri,,22-Apr,29
439,14,Montana,296,22-Apr,30
1813,38,Nebraska,,22-Apr,31
4081,172,Nevada,,22-Apr,32
1588,48,New Hampshire,546,22-Apr,33
95914,5150,New Jersey,,22-Apr,34
2210,71,New Mexico,529,22-Apr,35
263292,19413,New York,23887,22-Apr,36
7495,265,North Carolina,,22-Apr,37
679,14,North Dakota,229,22-Apr,38
14,2,Northern Mariana Islands,11,22-Apr,69
14117,610,Ohio,,22-Apr,39
2894,170,Oklahoma,1772,22-Apr,40
2059,78,Oregon,,22-Apr,41
36082,1673,Pennsylvania,,22-Apr,42
1252,63,Puerto Rico,,22-Apr,72
5841,181,Rhode Island,315,22-Apr,44
4761,140,South Carolina,3317,22-Apr,45
1858,9,South Dakota,937,22-Apr,46
7394,157,Tennessee,4012,22-Apr,47
21321,556,Texas,7341,22-Apr,48
3445,32,Utah,970,22-Apr,49
823,40,Vermont,1710,22-Apr,50
54,3,Virgin Islands,48,22-Apr,78
10266,349,Virginia,1497,22-Apr,51
12596,686,Washington,,22-Apr,53
939,27,West Virginia,330,22-Apr,54
4845,248,Wisconsin,,22-Apr,55
447,6,Wyoming,254,22-Apr,56
5832,202,Alabama,,23-Apr,1
337,9,Alaska,209,23-Apr,2
0,0,American Samoa,,23-Apr,60
5772,249,Arizona,1282,23-Apr,4
2599,45,Arkansas,902,23-Apr,5
39561,1533,California,,23-Apr,6
11278,552,Colorado,,23-Apr,8
23100,1639,Connecticut,,23-Apr,9
3308,92,Delaware,643,23-Apr,10
3361,139,District of Columbia,648,23-Apr,11
29648,987,Florida,,23-Apr,12
21883,881,Georgia,,23-Apr,13
139,5,Guam,126,23-Apr,66
596,12,Hawaii,444,23-Apr,15
1836,54,Idaho,767,23-Apr,16
36937,1688,Illinois,,23-Apr,17
13039,706,Indiana,,23-Apr,18
3924,96,Iowa,1492,23-Apr,19
2721,113,Kansas,,23-Apr,20
3479,191,Kentucky,1311,23-Apr,21
25739,1599,Louisiana,,23-Apr,22
937,44,Maine,485,23-Apr,23
15737,748,Maryland,1040,23-Apr,24
46023,2360,Massachusetts,,23-Apr,25
35296,2977,Michigan,3237,23-Apr,26
2942,200,Minnesota,1536,23-Apr,27
5153,201,Mississippi,,23-Apr,28
6506,252,Missouri,,23-Apr,29
442,14,Montana,306,23-Apr,30
2202,47,Nebraska,,23-Apr,31
4208,195,Nevada,,23-Apr,32
1670,51,New Hampshire,550,23-Apr,33
