Province_State,Confirmed,Deaths,Recovered,date
Wisconsin,4346,220,,19-Apr
Wyoming,313,2,227,19-Apr
Alberta,2803,51,0,19-Apr
Anguilla,3,0,1,19-Apr
Anhui,991,6,984,19-Apr
Aruba,97,2,49,19-Apr
Australian Capital Territory,103,3,88,19-Apr
Beijing,593,8,510,19-Apr
Bermuda,86,5,35,19-Apr
"Bonaire, Sint Eustatius and Saba",5,0,0,19-Apr
British Columbia,1647,81,0,19-Apr
British Virgin Islands,4,1,2,19-Apr
Cayman Islands,61,1,7,19-Apr
Channel Islands,488,21,73,19-Apr
Chongqing,579,6,570,19-Apr
Curacao,14,1,11,19-Apr
Falkland Islands (Malvinas),11,0,3,19-Apr
Faroe Islands,185,0,176,19-Apr
French Guiana,96,0,64,19-Apr
French Polynesia,55,0,2,19-Apr
Fujian,355,1,339,19-Apr
Gansu,139,2,137,19-Apr
Gibraltar,132,0,120,19-Apr
Greenland,11,0,11,19-Apr
Guadeloupe,148,8,73,19-Apr
Guangdong,1580,8,1490,19-Apr
Guangxi,254,2,252,19-Apr
Guizhou,147,2,145,19-Apr
Hainan,168,6,162,19-Apr
Hebei,328,6,316,19-Apr
Heilongjiang,898,13,472,19-Apr
Henan,1276,22,1254,19-Apr
Hong Kong,1025,4,602,19-Apr
Hubei,68128,4512,63507,19-Apr
Hunan,1019,4,1015,19-Apr
Inner Mongolia,193,1,104,19-Apr
Isle of Man,298,6,193,19-Apr
Jiangsu,653,0,643,19-Apr
Jiangxi,937,1,936,19-Apr
Jilin,104,1,97,19-Apr
Liaoning,146,2,142,19-Apr
Macau,45,0,20,19-Apr
Manitoba,254,5,0,19-Apr
Martinique,163,12,73,19-Apr
Mayotte,271,4,117,19-Apr
Montserrat,11,0,2,19-Apr
New Brunswick,118,0,0,19-Apr
New Caledonia,18,0,15,19-Apr
New South Wales,2926,26,1379,19-Apr
Newfoundland and Labrador,257,3,0,19-Apr
Ningxia,75,0,75,19-Apr
Northern Territory,28,0,9,19-Apr
Northwest Territories,5,0,0,19-Apr
Nova Scotia,675,9,0,19-Apr
Ontario,11561,591,0,19-Apr
Prince Edward Island,26,0,0,19-Apr
Qinghai,18,0,18,19-Apr
Quebec,17950,820,0,19-Apr
Queensland,1015,6,738,19-Apr
Recovered,0,0,11847,19-Apr
Recovered,0,0,70337,19-Apr
Reunion,408,0,237,19-Apr
Saint Barthelemy,6,0,5,19-Apr
Saint Pierre and Miquelon,1,0,0,19-Apr
Saskatchewan,315,4,0,19-Apr
Shaanxi,256,3,252,19-Apr
Shandong,787,7,765,19-Apr
Shanghai,635,7,521,19-Apr
Shanxi,197,0,135,19-Apr
Sichuan,561,3,554,19-Apr
Sint Maarten,67,10,12,19-Apr
South Australia,435,4,331,19-Apr
St Martin,37,2,19,19-Apr
Tasmania,180,7,67,19-Apr
Tianjin,189,3,174,19-Apr
Tibet,1,0,1,19-Apr
Turks and Caicos Islands,11,1,0,19-Apr
Victoria,1319,14,1172,19-Apr
Western Australia,541,7,340,19-Apr
